CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
Nợ dài hạn,415111869758,411532810496,453196649401,491891149713,508937364128,565044030094,565949667885,346676448782,357722799611,372252790415,377445998543,410402534593,413872193316,426749546167,544274607850,554453926269,572712158332,540790459406,559389313551,511989562860,525766348310,337162323893,436616077486,565361558092,455147352790,695172060684,784757986928,595890865416,598698196544,477619358810,489515870457,515094622289,515209053985,531807386129,533779982227,435045952349,549943361554,558262473836,519478135082,513702917767
Tăng trưởng Nợ dài hạn,-0.1844,-0.2717,-0.19920000000000002,0.4189,0.4227,0.5179,0.49939999999999996,-0.1553,-0.13570000000000002,-0.1277,-0.3065,-0.25980000000000003,-0.2773,-0.2109,-0.027000000000000003,0.08289999999999999,0.08929999999999999,0.6039,0.2812,-0.0944,0.1552,-0.515,-0.4436,-0.0512,-0.2398,0.45549999999999996,0.6031,0.15689999999999998,0.162,-0.10189999999999999,-0.08289999999999999,0.184,-0.0632,-0.047400000000000005,0.0275,-0.1531,0.0645,0.0812,0.049699999999999994,0.444
Vốn chủ sở hữu,36174402829663,35244275911882,38337447333457,35867590635494,35025743765470,34003064009307,36660049706993,34510226162818,32816518355085,33844385381769,36820519100790,34977211542030,35850114249384,33874917735869,34375373150169,33963940621427,33647122229822,31691521476430,32355699373176,32246764035922,29731255204364,27840628245882,28933720200205,28923230823493,26271369291927,25950209286277,26536049912532,26290939061369,23873057813861,24028616769178,24753118498532,25019430479001,22405949288585,20754813841870,22947341353557,22872935554210,20923915747585,19216789663838,21272281963424,21261450157182
Tăng trưởng vốn chủ sở hữu,0.032799999999999996,0.0365,0.0458,0.0393,0.0673,0.004699999999999999,-0.0044,-0.0134,-0.08460000000000001,-0.0009,0.0711,0.0298,0.0655,0.0689,0.062400000000000004,0.0533,0.1317,0.1383,0.1183,0.1149,0.1317,0.0728,0.0904,0.1001,0.1005,0.08,0.07200000000000001,0.0508,0.0655,0.1577,0.0787,0.09380000000000001,0.0708,0.08,0.0787,0.0758,0.0632,0.0604,0.1466,0.1311
Vốn góp cổ phần,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,20899554450000,17416877930000,17416877930000,17416877930000,17416877930000,17416877930000,17416877930000,17416877930000,17416877930000,14514534290000,14514534290000,14514534290000,14514534290000,14514534290000,14514534290000,14514534290000,14514534290000,12006621930000,12006621930000,12006621930000,12006621930000,10006413990000,10006413990000
Tăng trưởng vốn góp cổ phần,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,,,,,0.2,0.2,0.2,0.2,,,,,0.2089,0.2089,0.2089,0.2089,0.1999,0.1999,0.1999,0.1999,0.1999,0.1999
P/E,14.158593618099397,15.69072905121021,14.974040587401221,16.015322907876392,17.170217952684013,18.934741186782013,17.91632230672001,18.774207121598693,18.434730316715868,16.19834687036397,14.618535036502779,16.072799346189836,17.579104647128403,17.07522105563841,17.585603975101264,20.118611215315156,20.46918977054794,18.909785807576174,18.32880059728172,17.64224454669786,20.2524751910627,20.46916755072563,21.943363412685205,23.241971027018625,22.622007004424333,24.15906506704133,25.961710912972244,29.178451683781883,25.614509456991076,21.482926685944367,21.208153459808663,20.202679564873474,21.423197636048748,22.229654570544437,20.065046136624275,19.761964212792407,19.405263100425447,17.37935195333475,17.15418998517954,17.303638320035233
P/B,4.330328757978323,4.423781713373482,4.330266906446807,4.483635740610275,4.714328958499268,4.658466268167622,4.591035447382873,5.352836620866437,5.234717446125413,4.493874186302052,4.641034075249977,5.116977424048886,5.94799114619417,5.76272476633608,6.1233821726749404,7.134673987561233,7.747076500159243,6.7319267090458235,6.493070862146232,6.7872052604545905,7.933909791551732,7.619402682579814,7.989669453523583,9.220004262176356,8.59462224079715,9.096098978881413,10.120498656543914,12.851684670369274,11.073398216875717,8.96678775493171,8.667601362682205,8.511331336740083,9.83152796508852,8.818341872325073,7.421765446370067,7.423817872216007,7.77399943559031,5.65147845115017,5.075847553619143,5.335922022552611
EV/EBITDA,,9.324150209171904,8.767872864694356,9.361532716871539,9.844728155485976,11.26134058309134,10.74759898480971,11.374185439995962,11.417984722385482,10.081398506456773,9.391219539271903,10.267398283768728,11.386686307455268,11.09427877302904,11.585610970552791,13.316819760547487,13.527540890731903,12.525315010802267,12.287539605016267,11.920412382826207,14.145868966271625,14.398130444818458,15.566983109343195,16.663259007173824,16.21280558825264,17.38308540016449,18.970158611799796,21.347112026105442,18.769487593249053,15.488382951677606,15.186909010592592,14.38498602839941,15.470235620291348,15.839671812998542,14.167369133948794,13.856833251161,13.602431001919623,11.607147254742348,11.127104595564688,11.241781519124808
EPS (VNĐ/CP),1016.1217903293627,1150.0336577194353,1277.7664823778098,1050.1022741180973,1112.9490657950366,1192.4914576353565,1052.0851962760382,888.4080575392362,894.3375209671037,1099.7358400867727,996.6629341933173,1084.0030561177825,1050.7422471085263,1399.9183595117263,1356.3873092959645,1232.522245780699,1045.5581805223603,1472.5660496285957,1469.969092748622,1587.7727087797416,1264.2379394329143,1544.86438327721,1664.6236143340652,1602.597892184426,1320.4744632589245,1470.1468722587106,1531.133999076881,1861.3745323938706,1202.1335773405533,1856.2470209151127,2013.4161776284886,2022.3255948654337,1260.176425653443,1756.0520859615742,1939.711517343664,1797.4487421252043,1579.8785458303903,1779.2162501309701,1820.7641165647326,1556.6722466838544
Tăng trưởng EPS,-0.087,-0.0356,0.2145,0.182,0.2444,0.0843,0.0556,-0.1804,-0.1489,-0.2144,-0.2652,-0.12050000000000001,0.005,-0.0493,-0.07730000000000001,-0.2237,-0.17300000000000001,-0.046799999999999994,-0.11689999999999999,-0.009300000000000001,-0.0426,0.0508,0.0872,-0.139,0.0984,-0.20800000000000002,-0.2395,-0.0796,-0.0461,0.0571,0.038,0.1251,-0.2024,-0.013000000000000001,0.0653,0.1547,-0.08650000000000001,0.2929,0.1559,-0.0649
Giá trị sổ sách (VNĐ/CP),15444.740517425242,15010.40777718302,16433.90321498074,15241.554827817872,15166.263367949932,14668.047373239577,16013.854397782628,15072.85258189607,14282.14719849255,14900.517707547588,16333.345562662462,15406.049350359237,15829.65748867962,14878.973055739472,15131.730827991885,14991.71493976801,14975.047820337624,14044.007439162837,14421.383943115292,17233.756164954644,15794.424344965222,15654.324697799304,16274.241586351685,16271.287657657045,14804.765390399023,14619.70148705112,14956.155457880059,17785.684886545783,16106.837765577715,16544.622124716207,16895.89663822502,17075.342604819525,15274.386927592781,14138.428182510943,15649.200495740644,18863.436336225503,17241.802291385153,15821.971820179342,17547.073630952495,21080.22332619262
Biên lợi nhuận gộp,0.4012,0.41200000000000003,0.4243,0.4189,0.41240000000000004,0.4192,0.4048,0.38780000000000003,0.38789999999999997,0.39490000000000003,0.40700000000000003,0.4053,0.4251,0.4288,0.4361,0.4363,0.46159999999999995,0.4669,0.4607,0.4667,0.4692,0.4704,0.4804,0.4667,0.4739,0.4728,0.4721,0.45270000000000005,0.4537,0.4717,0.49,0.4829,0.46409999999999996,0.4167,0.4316,0.4865,0.3979,0.41240000000000004,0.4178,0.3567
Biên EBIT,0.1751,0.1934,0.2025,0.1979,0.1888,0.2018,0.1859,0.172,0.1559,0.18100000000000002,0.175,0.2011,0.1714,0.223,0.2241,0.2401,0.187,0.2451,0.2419,0.2403,0.1886,0.2296,0.24489999999999998,0.255,0.2072,0.2218,0.23190000000000002,0.26280000000000003,0.1693,0.243,0.2583,0.2896,0.1883,0.2503,0.2708,0.255,0.20670000000000002,0.24280000000000002,0.2504,0.2195
Biên EBITDA,0.2076,0.2297,0.23399999999999999,0.2336,0.2376,0.2332,0.2198,0.2101,0.19030000000000002,0.2133,0.20980000000000001,0.2398,0.2052,0.2563,0.2589,0.278,0.2248,0.28059999999999996,0.2779,0.27949999999999997,0.22390000000000002,0.2642,0.2777,0.2908,0.2407,0.2516,0.2608,0.29460000000000003,0.1985,0.26649999999999996,0.28190000000000004,0.3154,0.21420000000000003,0.2748,0.29460000000000003,0.28300000000000003,0.2322,0.26899999999999996,0.2763,0.2501
